Year,Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
1,5,1,8,Right-handed,On your back,2
2,8,20,6,Right-handed,On your right side,2
1,10,10,6,Left-handed,On your back,0
3,6,3,7,Right-handed,On your left side,1
2,6,10,8,Right-handed,On your right side,2
1,8,5,8,Right-handed,On your back,0
3,7,5,7,Right-handed,On your right side,0
1,8,7,7,Right-handed,On your right side,2
1,6,4,8,Right-handed,On your right side,8
3,6,3,7,Right-handed,On your right side,0
2,5,3,8.5,Right-handed,On your left side,0
4,5,4,6,Right-handed,On your back,0
1,8,3,6,Left-handed,On your right side,11
1,6,3,8,Right-handed,On your back,0
1,6,4,8,Right-handed,On your right side,0
1,6,4,7,Right-handed,On your left side,2
1,5,3,9,Right-handed,On your right side,0
1,3,4,5,Right-handed,On your left side,12
1,7,10,9,Right-handed,On your back,0
1,7,3,7,Right-handed,On your right side,1
1,3,4,6,Right-handed,On your back,0
1,4,8,6,Right-handed,On your right side,0
1,7,6,7,Right-handed,On your stomach,0
1,4,4,8,Left-handed,On your back,2
2,7,7,7,Right-handed,On your right side,2
3,5,1,8,Right-handed,On your right side,1
1,5,3,7.5,Right-handed,On your right side,4
1,4,2,7,Right-handed,On your back,2
3,4,1,7.5,Right-handed,On your left side,1
3,3,2,6,Right-handed,On your back,0
1,4,7,8,Right-handed,On your left side,2
1,2,1,8,Right-handed,On your right side,2
1,6,5,7,Right-handed,On your right side,0
1,5,0,8,Right-handed,On your back,0
1,8,3,8,Right-handed,On your right side,3
1,7,5,7,Right-handed,On your right side,2
1,5,7,6,Left-handed,On your back,3
1,5,3,8.5,Left-handed,On your left side,2
2,8,12,5,ambidextrous,On your left side,0
2,10,8,8,Right-handed,On your left side,2
3,8,3,8,Left-handed,On your back,4
1,7,15,8,Right-handed,On your right side,0
1,3,9,5,Right-handed,On your right side,2
1,4,5,6,Right-handed,On your right side,1
2,7,10,8,Right-handed,On your left side,4
3,4,1,7,Right-handed,On your left side,0
2,8,4,8,Right-handed,On your left side,2
1,2,8,10,Right-handed,On your left side,2
4,3,4,8,Right-handed,On your left side,5
3,6,1,7,Right-handed,On your left side,2
1,6,8,6,Right-handed,On your left side,2
1,8,6,8,Right-handed,On your back,0
1,3,4,7,Right-handed,On your stomach,0
3,10,13,7,Right-handed,On your right side,2
1,3,2,9,Right-handed,On your right side,0
4,4,4,4,Right-handed,On your right side,2
3,4,10,7,Right-handed,On your back,0
1,4,5,8,Right-handed,On your back,4
4,1,4,8,Right-handed,On your left side,0
1,3,6,7,Right-handed,On your back,0
1,5,5,7,Right-handed,On your left side,2
1,7,4,7,Right-handed,On your back,0
1,7,4,8,Right-handed,On your stomach,0
3,8,6,6,Right-handed,On your back,0
2,7,10,7,Left-handed,On your right side,1
1,7,5,8.5,Right-handed,On your right side,4
4,4,5,8,Right-handed,On your right side,5
1,8,13,8,Right-handed,On your right side,8
1,6,4,7,Left-handed,On your right side,2
4,8,10,7,Right-handed,On your back,0
3,3,3,8,Right-handed,On your back,0
1,3,10,7,Right-handed,On your right side,0
1,4,5,8,Left-handed,On your right side,0
1,4,4,8,Right-handed,On your back,0
1,3,3,8,Left-handed,On your right side,0
1,7,5,5,Right-handed,On your right side,0
1,5,10,8,Right-handed,On your stomach,4
1,7,4,8,Right-handed,On your right side,2
4,5,5,7,Right-handed,On your left side,2
2,4,5,7,Right-handed,On your left side,2
1,4,3,8,Right-handed,On your left side,4
1,7,5,6,Right-handed,On your right side,0
1,7,3,8,Right-handed,On your back,1
1,7,5,9,Right-handed,On your left side,2
3,1,1,6,Right-handed,On your back,0
1,4,15,8,Right-handed,On your back,0
2,3,4,8,Right-handed,On your back,1
2,3,3,7,Right-handed,On your right side,0
1,5,5,7,Right-handed,On your back,0
1,5,4,8,Right-handed,On your right side,0
1,3,2,5,Right-handed,On your right side,0
1,8,2,10,Right-handed,On your right side,0
1,4,4,7,Right-handed,On your left side,0
2,9,10,8,Right-handed,On your stomach,5
1,5,10,8,Right-handed,On your right side,0
1,3,1,7.5,Right-handed,On your right side,0
1,5,5,8,Right-handed,On your right side,0
1,4,5,7,Right-handed,On your right side,2
1,7,5,5,Right-handed,On your right side,2
1,5,3,7.5,Right-handed,On your right side,0
1,3,6,8,Right-handed,On your left side,2
1,6,6,8,Right-handed,On your right side,0
2,4,0,7,Right-handed,On your back,0
1,4,4,5,Right-handed,On your stomach,0
1,7,8,9,Right-handed,On your stomach,0
3,8,6,6,Right-handed,On your back,0
3,6,10,6,Right-handed,On your right side,4
4,4,4,8,Right-handed,On your left side,2
1,7,10,7,Right-handed,On your right side,4
2,6,7,7,Right-handed,On your back,2
1,3,4,9,Right-handed,On your stomach,2
3,4,4,8,Right-handed,On your stomach,2
3,8,10,6,Right-handed,On your right side,0
4,4,5,8,Right-handed,On your right side,3
1,4,3,7,Right-handed,On your back,4
2,5,4,7,Right-handed,On your right side,0
2,5,2,7,Right-handed,On your left side,0
2,4,4,7,Right-handed,On your back,8
5,7,2,7,Right-handed,On your back,4
2,7,15,6.5,Right-handed,On your left side,2
1,8,25,6,Right-handed,On your right side,4
3,4,7,8,Right-handed,On your right side,0
1,3,2,8,Right-handed,On your left side,3
4,5,5,6,Right-handed,On your stomach,2
3,6,5,8,Right-handed,On your right side,0
2,8,4,7,Right-handed,On your left side,4
1,5,7,7,Right-handed,On your stomach,5
1,7,6,8,Right-handed,On your right side,0
1,7,15,6,Right-handed,On your back,8
3,4,7,7,Right-handed,On your left side,2
1,7,4,7,Right-handed,On your left side,0
2,7,10,6,i can use both ,On your left side,0
1,4,5,7,Right-handed,On your back,0
4,7,10,10,Right-handed,On your right side,0
1,3,10,6,Right-handed,On your left side,0
1,6,7,7,Right-handed,On your right side,0
1,4,6,7,Right-handed,On your right side,4
1,8,6,8,Right-handed,On your right side,0
1,4,6,5,Right-handed,On your right side,0
5,7,1,8,Right-handed,On your back,1
1,5,6,6,Right-handed,On your back,0
1,4,3,8,Right-handed,On your left side,1
1,4,4,6,Right-handed,On your left side,0
1,7,7,9,Left-handed,On your left side,0
1,4,7,8,Right-handed,On your stomach,2
2,8,10,6,Right-handed,On your back,0
1,5,10,7,Right-handed,On your right side,0
2,6,9,9,Right-handed,On your left side,0
1,6,3,7,Right-handed,On your back,0
1,8,7,6.5,Right-handed,On your back,4
1,8,25,6,Right-handed,On your right side,4
